,x
ENSG00000176406.22_3,11
ENSG00000170961.6_2,14
ENSG00000177335.10_2,14
ENSG00000147889.17_3,14
ENSG00000147883.10_2,2
ENSG00000174482.10_3,11
ENSG00000196092.12_2,11
ENSG00000137142.4_2,11
ENSG00000107282.7_3,11
ENSG00000224825.2_3,4
ENSG00000106829.18_3,11
ENSG00000165238.16_3,11
ENSG00000041982.15_3,4
ENSG00000148219.16_3,11
ENSG00000136869.13_2,14
ENSG00000185585.19_3,13
ENSG00000151240.16_2,11
ENSG00000151468.10_4,13
ENSG00000065809.13_3,11
ENSG00000107611.14_3,13
ENSG00000026025.15_3,11
ENSG00000273312.2_4,9
ENSG00000177283.7_3,4
ENSG00000266524.2_2,1
ENSG00000165606.8_2,8
ENSG00000072422.16_2,11
ENSG00000183346.6_3,13
ENSG00000150347.14_2,11
ENSG00000138347.15_2,6
ENSG00000156650.12_2,14
ENSG00000107554.16_3,9
ENSG00000235823.2_3,6
ENSG00000108018.15_2,11
ENSG00000148700.14_3,6
ENSG00000148737.16_3,11
ENSG00000066468.22_3,11
ENSG00000166033.11_2,11
ENSG00000182022.17_3,3
ENSG00000226900.1_3,6
ENSG00000185187.12_3,14
ENSG00000174672.15_2,4
ENSG00000129757.12_2,11
ENSG00000247271.6_3,6
ENSG00000110693.17_3,4
ENSG00000166689.15_4,4
ENSG00000166833.19_4,14
ENSG00000270607.1_3,14
ENSG00000187398.11_4,13
ENSG00000148948.7_3,4
ENSG00000157613.10_3,4
ENSG00000149177.12_2,14
ENSG00000173599.13_2,11
ENSG00000069482.6_2,14
ENSG00000149269.9_3,14
ENSG00000149256.15_3,11
ENSG00000150687.11_3,11
ENSG00000196167.9_4,1
ENSG00000214290.8_2,10
ENSG00000109846.7_2,8
ENSG00000182985.17_3,14
ENSG00000255689.1_3,1
ENSG00000260254.1_2,12
ENSG00000149403.12_3,10
ENSG00000064309.14_2,11
ENSG00000166106.3_2,14
ENSG00000111266.8_3,14
ENSG00000013588.7_3,9
ENSG00000134531.9_3,14
ENSG00000139055.6_2,6
ENSG00000008394.12_3,6
ENSG00000172572.6_3,11
ENSG00000123104.11_3,14
ENSG00000110841.13_3,11
ENSG00000064763.10_3,14
ENSG00000133687.15_4,13
ENSG00000111424.10_2,9
ENSG00000110881.11_2,14
ENSG00000205426.10_2,2
ENSG00000250748.6_3,14
ENSG00000166268.10_3,7
ENSG00000127324.8_2,13
ENSG00000139289.13_2,9
ENSG00000175183.9_2,11
ENSG00000049130.14_2,14
ENSG00000139318.7_2,14
ENSG00000180263.13_3,14
ENSG00000198431.15_3,14
ENSG00000257519.1_3,10
ENSG00000271579.1_3,12
ENSG00000158023.9_3,4
ENSG00000110987.8_2,11
ENSG00000127863.15_3,4
ENSG00000102755.11_2,4
ENSG00000133083.14_2,14
ENSG00000133101.9_2,6
ENSG00000150907.7_3,14
ENSG00000136099.13_2,8
ENSG00000178695.5_2,11
ENSG00000136158.11_3,11
ENSG00000102466.15_3,11
ENSG00000126217.20_3,11
ENSG00000183087.14_2,11
ENSG00000259017.1_3,5
ENSG00000186469.8_2,14
ENSG00000100592.15_2,14
ENSG00000119699.7_2,13
ENSG00000152315.4_3,4
ENSG00000175785.12_2,11
ENSG00000250366.2_3,13
ENSG00000183092.16_3,11
ENSG00000221077.1,5
ENSG00000258498.8_3,8
ENSG00000185215.8_3,14
ENSG00000166165.12_3,11
ENSG00000226777.7_2,9
ENSG00000166068.12_3,14
ENSG00000138606.19_3,11
ENSG00000166147.13_3,11
ENSG00000128849.10_2,11
ENSG00000128923.10_3,14
ENSG00000166949.15_3,14
ENSG00000103647.12_2,9
ENSG00000140332.15_2,14
ENSG00000103811.15_2,6
ENSG00000140743.7_3,14
ENSG00000171208.9_2,14
ENSG00000102935.11_4,11
ENSG00000125148.6_2,14
ENSG00000125144.13_4,13
ENSG00000166595.11_3,11
ENSG00000272636.3_3,11
ENSG00000133026.12_4,11
ENSG00000109099.13_2,11
ENSG00000072310.16_3,14
ENSG00000166482.11_2,11
ENSG00000176749.8_3,11
ENSG00000166750.9_2,14
ENSG00000265666.1_3,9
ENSG00000108821.13_3,11
ENSG00000154229.11_3,11
ENSG00000132481.6_3,4
ENSG00000167889.12_2,11
ENSG00000177337.7_3,14
ENSG00000262001.1_3,14
ENSG00000088756.12_2,6
ENSG00000101680.14_2,11
ENSG00000267414.1_3,13
ENSG00000152217.16_3,11
ENSG00000101670.11_3,11
ENSG00000141639.11_3,13
ENSG00000150637.8_4,10
ENSG00000141668.9_2,8
ENSG00000167772.11_3,2
ENSG00000121297.6_2,14
ENSG00000004776.12_2,4
ENSG00000128016.5_2,14
ENSG00000105409.16_3,11
ENSG00000069399.14_3,14
ENSG00000277531.2_4,14
ENSG00000129990.14_3,14
ENSG00000179954.15_3,11
ENSG00000215397.3_3,4
ENSG00000171867.16_3,14
ENSG00000089199.9_3,14
ENSG00000125869.9_2,13
ENSG00000196562.14_3,6
ENSG00000042062.11_3,6
ENSG00000101180.15_2,4
ENSG00000154654.14_2,10
ENSG00000159147.17_3,14
ENSG00000160179.18_3,6
ENSG00000182912.6_3,14
ENSG00000100003.17_3,14
ENSG00000100106.19_4,14
ENSG00000130638.16_3,14
ENSG00000188064.9_3,2
ENSG00000073146.15_2,14
ENSG00000101871.14_3,14
ENSG00000177189.12_2,14
ENSG00000069535.13_2,11
ENSG00000065923.9_3,14
ENSG00000204131.9_3,11
ENSG00000077279.18_4,11
ENSG00000130224.14_2,14
ENSG00000171004.18_4,11
ENSG00000208005.1,8
ENSG00000022267.16_3,11
ENSG00000185275.6_2,11
