baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000227232.5_2	668.51365812122	0.0568428349813842	0.210468548997094	0.270077573358331	0.787100575080038	0.999957825060306
ENSG00000238009.6_4	1.24872364296915	0.0412397974277189	0.084988999246676	0.485236887047259	0.627508318942903	NA
ENSG00000233750.3_2	4.02066249214285	-0.187757414871961	0.137581553222821	-1.36469904920957	0.172347658611911	NA
ENSG00000237683.5	12.5298986115398	0.234648655074833	0.215912831452601	1.0867749429072	0.277136284119092	0.999957825060306
ENSG00000268903.1_3	0.793004904700424	0.0119356346211182	0.0636416168405905	0.187544490753818	0.851233743892595	NA
ENSG00000241860.6_3	10.4249541944502	-0.0107062073652909	0.204519531177574	-0.0523480926425321	0.958251333433771	0.999957825060306
ENSG00000228463.4	29.8448175272931	0.0933272123293334	0.257336430458733	0.36266614937872	0.716854289401764	0.999957825060306
ENSG00000250575.1	38.9571116412282	-0.264696513250549	0.259047984782021	-1.02180495043527	0.306873225876432	0.999957825060306
ENSG00000230021.9_3	14.2363360541113	0.00211036620211446	0.210186211766562	0.0100404597636418	0.991989006770603	0.999957825060306
ENSG00000225972.1_2	11.7786806613508	0.0731457827328204	0.211988873405714	0.345045386381345	0.730060250162309	0.999957825060306
ENSG00000225630.1_2	417.255720193568	0.165334065904874	0.246500600954509	0.670724798498102	0.502395862001262	0.999957825060306
ENSG00000237973.1_2	37115.786396685	0.0655051694404195	0.160155668890347	0.409009371284063	0.682532783915486	0.999957825060306
ENSG00000229344.1_2	10.3289571450585	-0.00653029501050574	0.202031122905525	-0.0323232129613983	0.97421429760847	0.999957825060306
ENSG00000248527.1_2	93.4461655168495	0.167906066089145	0.263750245284292	0.636610085075607	0.524378854423238	0.999957825060306
ENSG00000198744.5_2	3649.50788080222	-0.00341185264074151	0.196742029936479	-0.0173417578432177	0.98616397266308	0.999957825060306
ENSG00000229376.3_2	7.64369640570138	-0.313200067101935	0.183830851542391	-1.7037405009774	0.088429578068887	NA
ENSG00000228327.3_4	275.094974886234	-0.232945326340298	0.229474381055939	-1.01512563305929	0.310045944195997	0.999957825060306
ENSG00000235373.1	9.67862804187356	-0.121186910562415	0.199095173626833	-0.608688339123465	0.542731037687144	0.999957825060306
ENSG00000237491.8_3	48.0786303000347	-0.23058349611387	0.267294473584862	-0.862657177387035	0.388325983386641	0.999957825060306
ENSG00000230092.7_3	14.0544103113051	0.004184331037805	0.218930987595195	0.0191125572664106	0.984751314010346	0.999957825060306
ENSG00000269831.1	0.565356168677934	-0.0336848018887918	0.0572366158242414	-0.58851840563441	0.556184383387036	NA
ENSG00000177757.2_2	15.8324374985007	0.0984355635885073	0.227573902966853	0.432543285083284	0.665346599687799	0.999957825060306
ENSG00000228794.8_2	581.317998132793	0.1309248410768	0.206998911747279	0.632490480126986	0.527066427184072	0.999957825060306
ENSG00000225880.5_2	28.6802563032564	0.00983503531862583	0.248503594761622	0.0395770344008911	0.968430336983913	0.999957825060306
ENSG00000272438.1_4	103.369110882154	0.605782684830639	0.262083842245206	2.31140798166362	0.0208103304985539	0.405833927027469
ENSG00000230699.2_4	643.197210962924	0.482704204086056	0.194245723343752	2.48501843838191	0.0129544724678655	0.287653754170934
ENSG00000241180.1_4	10.4013661431188	0.109797601580152	0.187406174037604	0.585880385979814	0.557955898890678	0.999957825060306
ENSG00000223764.2_3	1191.71245154595	0.449208286957763	0.210969278354678	2.12925924789183	0.0332328174312402	0.548253724893374
ENSG00000187634.11_4	5660.13215507786	0.227560062411166	0.223436777265397	1.01845392328082	0.308462287303537	0.999957825060306
ENSG00000268179.1	33.2231543738605	-0.0969408335038991	0.26039723239423	-0.372280583063706	0.709683953823275	0.999957825060306
ENSG00000188976.10_2	8605.85609561237	0.241328910265492	0.179483898875444	1.34457136142873	0.178763696920768	0.999957825060306
ENSG00000187961.13_3	1338.22710896376	0.440496791271183	0.196882016742158	2.23736427816092	0.0252625412560069	0.458764811704288
ENSG00000187583.10_3	20.6585461894527	-0.077653855246817	0.242569931518298	-0.320129765304235	0.748869962572929	0.999957825060306
ENSG00000187642.9_2	17.4850427229897	-0.0189286346666586	0.232879933560802	-0.0812806598543477	0.935218754293859	0.999957825060306
ENSG00000272512.1_3	20.5232515187378	0.409512800915253	0.241147482247093	1.69818402041471	0.089473035541649	0.973755145130506
ENSG00000188290.10_3	846.52143238375	0.257730394587959	0.260187603088137	0.990556012388699	0.321902425694061	0.999957825060306
ENSG00000187608.8_4	230.410842563203	-0.0385232411805575	0.22989890369034	-0.167566006458413	0.866924715922705	0.999957825060306
ENSG00000231702.2_3	1.89641320100993	-0.0485579999281989	0.0976508226891274	-0.497261554905522	0.619004618859542	NA
ENSG00000224969.1_3	2.54563316473466	-0.0691188986221717	0.121200275257429	-0.570286647248643	0.568483295874673	NA
ENSG00000188157.14_3	10616.7398356489	0.491239059296053	0.194644448058041	2.52377637377857	0.0116101758539077	0.265673144906086
ENSG00000217801.9_3	13.4228472988733	-0.0272151385997624	0.21050651995315	-0.12928406495827	0.897132879931972	0.999957825060306
ENSG00000131591.17_3	784.246303407426	0.117981548236881	0.206805334397581	0.570495672080017	0.568341556686764	0.999957825060306
ENSG00000186891.13_3	1.44904505893391	-0.0211206276068507	0.082086255737729	-0.257297977804378	0.796948753398224	NA
ENSG00000186827.10_2	4.45020960783679	0.077952295271779	0.152505367099281	0.511144602675079	0.609249805932536	NA
ENSG00000078808.16_2	8402.02029355159	-0.0315998237042108	0.171259917436294	-0.184513832408949	0.853610376761194	0.999957825060306
